,Instrument,Company Common Name,ESG Coverage Flag,Region of Headquarters,TRBC Economic Sector Name
0,MBWS.PA,Marie Brizard Wine and Spirits SA,True,Europe,Consumer Non-Cyclicals
1,AFEJ.J,AECI Ltd,True,Africa,Basic Materials
2,AELJ.J,Altron Ltd,True,Africa,Technology
3,AAL.L,Anglo American PLC,True,Europe,Basic Materials
4,AVIJ.J,Avi Ltd,True,Africa,Consumer Non-Cyclicals
5,BAWJ.J,Barloworld Ltd,True,Africa,Industrials
6,GFIJ.J,Gold Fields Ltd,True,Africa,Basic Materials
7,HARJ.J,Harmony Gold Mining Company Ltd,True,Africa,Basic Materials
8,IMPJ.J,Impala Platinum Holdings Ltd,True,Africa,Basic Materials
9,EVNV.VI,EVN AG,True,Europe,Utilities
10,SUIJ.J,Sun International Ltd,True,Africa,Consumer Cyclicals
11,MURJ.J,Murray & Roberts Holdings Ltd,True,Africa,Industrials
12,NEDJ.J,Nedbank Group Ltd,True,Africa,Financials
13,PIKJ.J,Pick N Pay Stores Ltd,True,Africa,Consumer Non-Cyclicals
14,LENV.VI,Lenzing AG,True,Europe,Basic Materials
15,SAPJ.J,Sappi Ltd,True,Africa,Basic Materials
16,SBKJ.J,Standard Bank Group Ltd,True,Africa,Financials
17,OBER.VI,Oberbank AG,True,Europe,Financials
18,TONJ.J,Tongaat Hulett Ltd,True,Africa,Consumer Non-Cyclicals
19,AU.N,Anglogold Ashanti PLC,True,Europe,Basic Materials
20,ABGV.VI,Porr AG,True,Europe,Industrials
21,MOED.MI,Arnoldo Mondadori Editore SpA,True,Europe,Consumer Cyclicals
22,GASI.MI,Assicurazioni Generali SpA,True,Europe,Financials
23,RHIM.L,RHI Magnesita NV,True,Europe,Basic Materials
24,ISP.MI,Intesa Sanpaolo SpA,True,Europe,Financials
25,WBSV.VI,Wienerberger AG,True,Europe,Basic Materials
26,CIRI.MI,CIR SpA - Compagnie Industriali Riunite,True,Europe,Consumer Cyclicals
27,ACKB.BR,Ackermans & Van Haaren NV,True,Europe,Industrials
28,BEKB.BR,NV Bekaert SA,True,Europe,Basic Materials
29,CEMI.MI,Cementir Holding NV,True,Europe,Basic Materials
30,SCHA.OL,Schibsted ASA,True,Europe,Consumer Cyclicals
31,WBD.MI,Webuild SpA,True,Europe,Industrials
32,CRDI.MI,UniCredit SpA,True,Europe,Financials
33,EMBI.MI,Credito Emiliano SpA,True,Europe,Financials
34,STLAM.MI,Stellantis NV,True,Europe,Consumer Cyclicals
35,COLR.BR,Colruyt Group NV,True,Europe,Consumer Non-Cyclicals
36,LOTB.BR,Lotus Bakeries NV,True,Europe,Consumer Non-Cyclicals
37,ECONB.BR,Econocom Group SE,True,Europe,Technology
38,ITMI.MI,Italmobiliare SpA,True,Europe,Consumer Non-Cyclicals
39,RECT.BR,Recticel NV,True,Europe,Basic Materials
40,GBLB.BR,Groep Brussel Lambert NV,True,Europe,Financials
41,KBC.BR,Kbc Groep NV,True,Europe,Financials
42,DANI.MI,Danieli & C Officine Meccaniche SpA,True,Europe,Industrials
43,TLIT.MI,Telecom Italia SpA,True,Europe,Technology
44,RECI.MI,Recordati Industria Chimica e Farmaceutica SpA,True,Europe,Healthcare
45,SOF.BR,Sofina SA,True,Europe,Financials
46,SOLB.BR,Solvay SA,True,Europe,Basic Materials
47,SPMI.MI,Saipem SpA,True,Europe,Energy
48,LDOF.MI,Leonardo SpA,True,Europe,Industrials
49,TESB.BR,Tessenderlo Group NV,True,Europe,Basic Materials
50,UCB.BR,Ucb SA,True,Europe,Healthcare
51,MTTI.MI,Mittel SpA,True,Europe,Financials
52,BZU.MI,Buzzi SpA,True,Europe,Basic Materials
53,RSG.AX,Resolute Mining Ltd,True,Oceania,Basic Materials
54,AAHG.F,Ahlers AG,True,Europe,Consumer Cyclicals
55,ATW.CS,Attijariwafa Bank SA,True,Africa,Financials
56,EGAB.PA,TotalEnergies EP Gabon,True,Africa,Energy
57,GGS.BE,Gigaset AG,True,Europe,Technology
58,ATCOa.ST,Atlas Copco AB,True,Europe,Industrials
59,BAYGn.DE,Bayer AG,True,Europe,Healthcare
60,HOLMb.ST,Holmen AB,True,Europe,Basic Materials
61,PBBG.DE,Deutsche Pfandbriefbank AG,True,Europe,Financials
62,ELUXb.ST,Electrolux AB,True,Europe,Consumer Cyclicals
63,SEBa.ST,Skandinaviska Enskilda Banken AB,True,Europe,Financials
64,BYWGnx.DE,BayWa AG,True,Europe,Consumer Non-Cyclicals
65,ERICb.ST,Telefonaktiebolaget LM Ericsson,True,Europe,Technology
66,BEIG.DE,Beiersdorf AG,True,Europe,Consumer Non-Cyclicals
67,ADCG.F,AdCapital AG,True,Europe,Financials
68,HMb.ST,H & M Hennes & Mauritz AB,True,Europe,Consumer Cyclicals
69,INDUa.ST,Industrivarden AB,True,Europe,Financials
70,JM.ST,JM AB,True,Europe,Consumer Cyclicals
71,GBFG.DE,Bilfinger SE,True,Europe,Industrials
72,LATOb.ST,Investment AB Latour,True,Europe,Financials
73,LUNDb.ST,L E Lundbergforetagen AB (publ),True,Europe,Financials
74,NCCb.ST,Ncc AB,True,Europe,Industrials
75,RATOb.ST,Ratos AB,True,Europe,Financials
76,SAABb.ST,Saab AB,True,Europe,Industrials
77,SAND.ST,Sandvik AB,True,Europe,Basic Materials
78,BOSSn.DE,Hugo Boss AG,True,Europe,Consumer Cyclicals
79,SKAb.ST,Skanska AB,True,Europe,Industrials
80,SKFb.ST,SKF AB,True,Europe,Industrials
81,SHBa.ST,Svenska Handelsbanken AB,True,Europe,Financials
82,BLHG.F,BREMER LAGERHAUS-GESELLSCHAFT AG von 1877,True,Europe,Industrials
83,TRELb.ST,Trelleborg AB,True,Europe,Industrials
84,VOLVb.ST,Volvo AB,True,Europe,Industrials
85,BIJG.DE,Bijou Brigitte modische Accessoires AG,True,Europe,Consumer Cyclicals
86,STERV.HE,Stora Enso Oyj,True,Europe,Basic Materials
87,CEAG.DE,Friwo AG,True,Europe,Industrials
88,HUH1V.HE,Huhtamaki Oyj,True,Europe,Basic Materials
89,KESKOB.HE,Kesko Oyj,True,Europe,Consumer Non-Cyclicals
90,CBKG.DE,Commerzbank AG,True,Europe,Financials
91,METSB.HE,Metsa Board Oyj,True,Europe,Basic Materials
92,OUT1V.HE,Outokumpu Oyj,True,Europe,Basic Materials
93,CONG.DE,Continental AG,True,Europe,Consumer Cyclicals
94,DAMG.DE,DATA MODUL Produktion und Vertrieb von elektronischen Systemen AG,True,Europe,Technology
95,LINDEX.HE,Lindex Group Oyj,True,Europe,Consumer Cyclicals
96,DBKGn.DE,Deutsche Bank AG,True,Europe,Financials
97,DBANn.DE,Deutsche Beteiligungs AG,True,Europe,Financials
98,LHAG.DE,Deutsche Lufthansa AG,True,Europe,Industrials
99,DUEG.DE,Duerr AG,True,Europe,Industrials
100,EDD3_p.F,Edding AG,True,Europe,Industrials
101,EIN_p.DE,Einhell Germany AG,True,Europe,Consumer Cyclicals
102,EISG.F,Eisen und Huettenwerke AG,True,Europe,Financials
103,EUKG_p.F,EUROKAI GmbH & Co KgaA,True,Europe,Industrials
104,KWGG.DE,KHD Humboldt Wedag International AG,True,Europe,Industrials
105,FPE3_p.DE,Fuchs Se,True,Europe,Basic Materials
106,WWGG.F,Gelsenwasser AG,True,Europe,Utilities
107,GWKGn_p.H,GAG Immobilien AG,True,Europe,Real Estate
108,GILG.DE,Dmg Mori AG,True,Europe,Industrials
109,HABAn.DE,Hamborner REIT AG,True,Europe,Real Estate
110,HEIG.DE,Heidelberg Materials AG,True,Europe,Basic Materials
