,Instrument,TRBC Economic Sector Name,ESG Score,ESG Combined Score,ESG Controversies Score,Region of Headquarters
0,POOL.OQ,Consumer Cyclicals,50.6409939082342,50.6409939082342,100.0,Americas
1,CHRW.OQ,Industrials,41.1658951220176,41.1658951220176,100.0,Americas
2,AJG.N,Financials,50.6188701540809,50.6188701540809,100.0,Americas
3,CNP.N,Utilities,46.1447260775309,32.4473630387654,18.75,Americas
4,AMCR.N,Basic Materials,73.2647932704975,68.2990633019154,63.3333333333333,Europe
5,WM.N,Industrials,84.5833817688257,84.5833817688257,100.0,Americas
6,BA.N,Industrials,78.2216673038738,39.9729026174541,1.72413793103448,Americas
7,FOX.OQ,Consumer Cyclicals,63.2564009389295,34.2877749375499,5.31914893617021,Americas
8,WY.N,Real Estate,83.3230844588634,64.8758279437174,46.4285714285714,Americas
9,MCD.N,Consumer Cyclicals,64.9460037994799,33.7661053480158,2.58620689655172,Americas
10,HD.N,Consumer Cyclicals,66.9652139620112,33.9136414637642,0.862068965517241,Americas
11,SPG.N,Real Estate,65.1269762293238,65.1269762293238,100.0,Americas
12,HBAN.OQ,Financials,74.3575934649371,74.3575934649371,100.0,Americas
13,QRVO.OQ,Technology,62.183883019368,62.183883019368,100.0,Americas
14,LVS.N,Consumer Cyclicals,70.108374626292,70.108374626292,100.0,Americas
15,CTRA.N,Energy,38.5997506155476,38.5997506155476,100.0,Americas
16,ON.OQ,Technology,63.8075080844155,36.9037540422077,10.0,Americas
17,AIG.N,Financials,72.4826724010346,48.1163362005173,23.75,Americas
18,AIZ.N,Financials,65.4367985451797,65.4367985451797,100.0,Americas
19,CARR.N,Industrials,65.5671259841539,65.5671259841539,100.0,Americas
20,EVRG.OQ,Utilities,69.5082580591961,69.5082580591961,100.0,Americas
21,SMCI.OQ,Technology,39.5548326600944,23.4811200337509,7.40740740740741,Americas
22,COST.OQ,Consumer Cyclicals,71.186192886597,37.7359535861557,4.28571428571429,Americas
23,MCO.N,Industrials,67.4091836491749,67.4091836491749,100.0,Americas
24,DIS.N,Consumer Cyclicals,56.5660501356347,28.8149399614344,1.06382978723404,Americas
25,LULU.OQ,Consumer Cyclicals,55.5319172493298,30.7659586246649,6.0,Americas
26,PAYX.OQ,Industrials,58.6715950740584,52.9721611733928,47.2727272727273,Americas
27,AMD.OQ,Technology,67.7932705873789,67.7932705873789,80.7692307692308,Americas
28,REG.OQ,Real Estate,75.378822430073,75.378822430073,100.0,Americas
29,DHI.N,Consumer Cyclicals,46.1596905695141,46.1596905695141,100.0,Americas
30,TRV.N,Financials,67.5611103896308,67.5611103896308,100.0,Americas
31,MOS.N,Basic Materials,70.3776472162107,70.3776472162107,71.3114754098361,Americas
32,BWA.N,Consumer Cyclicals,63.6373134980545,63.6373134980545,64.4067796610169,Americas
33,WDC.OQ,Technology,60.6937234597681,49.4645087887076,38.2352941176471,Americas
