,Instrument,Company Common Name,ESG Coverage Flag,Region of Headquarters
0,MBWS.PA,Marie Brizard Wine and Spirits SA,True,Europe
1,AFEJ.J,AECI Ltd,True,Africa
2,AELJ.J,Altron Ltd,True,Africa
3,AAL.L,Anglo American PLC,True,Europe
4,AVIJ.J,Avi Ltd,True,Africa
5,BAWJ.J,Barloworld Ltd,True,Africa
6,GFIJ.J,Gold Fields Ltd,True,Africa
7,HARJ.J,Harmony Gold Mining Company Ltd,True,Africa
8,IMPJ.J,Impala Platinum Holdings Ltd,True,Africa
9,EVNV.VI,EVN AG,True,Europe
10,SUIJ.J,Sun International Ltd,True,Africa
11,MURJ.J,Murray & Roberts Holdings Ltd,True,Africa
12,NEDJ.J,Nedbank Group Ltd,True,Africa
13,PIKJ.J,Pick N Pay Stores Ltd,True,Africa
14,LENV.VI,Lenzing AG,True,Europe
15,SAPJ.J,Sappi Ltd,True,Africa
16,SBKJ.J,Standard Bank Group Ltd,True,Africa
17,OBER.VI,Oberbank AG,True,Europe
18,TONJ.J,Tongaat Hulett Ltd,True,Africa
19,AU.N,Anglogold Ashanti PLC,True,Europe
20,ABGV.VI,Porr AG,True,Europe
21,MOED.MI,Arnoldo Mondadori Editore SpA,True,Europe
22,GASI.MI,Assicurazioni Generali SpA,True,Europe
23,RHIM.L,RHI Magnesita NV,True,Europe
24,ISP.MI,Intesa Sanpaolo SpA,True,Europe
25,WBSV.VI,Wienerberger AG,True,Europe
26,CIRI.MI,CIR SpA - Compagnie Industriali Riunite,True,Europe
27,ACKB.BR,Ackermans & Van Haaren NV,True,Europe
28,BEKB.BR,NV Bekaert SA,True,Europe
29,CEMI.MI,Cementir Holding NV,True,Europe
30,SCHA.OL,Schibsted ASA,True,Europe
31,WBD.MI,Webuild SpA,True,Europe
32,CRDI.MI,UniCredit SpA,True,Europe
33,EMBI.MI,Credito Emiliano SpA,True,Europe
34,STLAM.MI,Stellantis NV,True,Europe
35,COLR.BR,Colruyt Group NV,True,Europe
36,LOTB.BR,Lotus Bakeries NV,True,Europe
37,ECONB.BR,Econocom Group SE,True,Europe
38,ITMI.MI,Italmobiliare SpA,True,Europe
39,RECT.BR,Recticel NV,True,Europe
40,GBLB.BR,Groep Brussel Lambert NV,True,Europe
41,KBC.BR,Kbc Groep NV,True,Europe
42,DANI.MI,Danieli & C Officine Meccaniche SpA,True,Europe
43,TLIT.MI,Telecom Italia SpA,True,Europe
44,RECI.MI,Recordati Industria Chimica e Farmaceutica SpA,True,Europe
45,SOF.BR,Sofina SA,True,Europe
46,SOLB.BR,Solvay SA,True,Europe
47,SPMI.MI,Saipem SpA,True,Europe
48,LDOF.MI,Leonardo SpA,True,Europe
49,TESB.BR,Tessenderlo Group NV,True,Europe
50,UCB.BR,Ucb SA,True,Europe
51,MTTI.MI,Mittel SpA,True,Europe
52,BZU.MI,Buzzi SpA,True,Europe
53,RSG.AX,Resolute Mining Ltd,True,Oceania
54,AAHG.F,Ahlers AG,True,Europe
55,ATW.CS,Attijariwafa Bank SA,True,Africa
56,EGAB.PA,TotalEnergies EP Gabon,True,Africa
57,GGS.BE,Gigaset AG,True,Europe
58,ATCOa.ST,Atlas Copco AB,True,Europe
59,BAYGn.DE,Bayer AG,True,Europe
60,HOLMb.ST,Holmen AB,True,Europe
61,PBBG.DE,Deutsche Pfandbriefbank AG,True,Europe
62,ELUXb.ST,Electrolux AB,True,Europe
63,SEBa.ST,Skandinaviska Enskilda Banken AB,True,Europe
64,BYWGnx.DE,BayWa AG,True,Europe
65,ERICb.ST,Telefonaktiebolaget LM Ericsson,True,Europe
66,BEIG.DE,Beiersdorf AG,True,Europe
67,ADCG.F,AdCapital AG,True,Europe
68,HMb.ST,H & M Hennes & Mauritz AB,True,Europe
69,INDUa.ST,Industrivarden AB,True,Europe
70,JM.ST,JM AB,True,Europe
71,GBFG.DE,Bilfinger SE,True,Europe
72,LATOb.ST,Investment AB Latour,True,Europe
73,LUNDb.ST,L E Lundbergforetagen AB (publ),True,Europe
74,NCCb.ST,Ncc AB,True,Europe
75,RATOb.ST,Ratos AB,True,Europe
76,SAABb.ST,Saab AB,True,Europe
77,SAND.ST,Sandvik AB,True,Europe
78,BOSSn.DE,Hugo Boss AG,True,Europe
79,SKAb.ST,Skanska AB,True,Europe
80,SKFb.ST,SKF AB,True,Europe
81,SHBa.ST,Svenska Handelsbanken AB,True,Europe
82,BLHG.F,BREMER LAGERHAUS-GESELLSCHAFT AG von 1877,True,Europe
83,TRELb.ST,Trelleborg AB,True,Europe
84,VOLVb.ST,Volvo AB,True,Europe
85,BIJG.DE,Bijou Brigitte modische Accessoires AG,True,Europe
86,STERV.HE,Stora Enso Oyj,True,Europe
87,CEAG.DE,Friwo AG,True,Europe
88,HUH1V.HE,Huhtamaki Oyj,True,Europe
89,KESKOB.HE,Kesko Oyj,True,Europe
90,CBKG.DE,Commerzbank AG,True,Europe
91,METSB.HE,Metsa Board Oyj,True,Europe
92,OUT1V.HE,Outokumpu Oyj,True,Europe
93,CONG.DE,Continental AG,True,Europe
94,DAMG.DE,DATA MODUL Produktion und Vertrieb von elektronischen Systemen AG,True,Europe
95,LINDEX.HE,Lindex Group Oyj,True,Europe
96,DBKGn.DE,Deutsche Bank AG,True,Europe
97,DBANn.DE,Deutsche Beteiligungs AG,True,Europe
98,LHAG.DE,Deutsche Lufthansa AG,True,Europe
99,DUEG.DE,Duerr AG,True,Europe
100,EDD3_p.F,Edding AG,True,Europe
101,EIN_p.DE,Einhell Germany AG,True,Europe
102,EISG.F,Eisen und Huettenwerke AG,True,Europe
103,EUKG_p.F,EUROKAI GmbH & Co KgaA,True,Europe
104,KWGG.DE,KHD Humboldt Wedag International AG,True,Europe
105,FPE3_p.DE,Fuchs Se,True,Europe
106,WWGG.F,Gelsenwasser AG,True,Europe
107,GWKGn_p.H,GAG Immobilien AG,True,Europe
108,GILG.DE,Dmg Mori AG,True,Europe
109,HABAn.DE,Hamborner REIT AG,True,Europe
110,HEIG.DE,Heidelberg Materials AG,True,Europe
111,MAKG.DE,MATERNUS-Kliniken-AG,True,Europe
112,HNKG_p.DE,Henkel AG & Co KGaA,True,Europe
113,HNDG.F,FRoSTA AG,True,Europe
114,HOTG.DE,Hochtief AG,True,Europe
115,IURG.DE,Kap AG,True,Europe
116,SDFGn.DE,K+S AG,True,Europe
117,AROG.H,Arcandor AG,True,Europe
118,KWSG.DE,KWS SAAT SE & Co KgaA,True,Europe
119,DEZG.DE,DEUTZ AG,True,Europe
120,SKBG.DE,Koenig & Bauer AG,True,Europe
121,KSBG.DE,KSB SE & Co KGaA,True,Europe
122,LECG.F,Lechwerke AG,True,Europe
123,LEIG.DE,Leifheit AG,True,Europe
124,MNVG.F,Mainova AG,True,Europe
125,MUVGn.DE,Muenchener Rueckversicherungs-Gesellschaft in Muenchen AG,True,Europe
126,NBHG.MU,Hoftex Group AG,True,Europe
127,NSTG.H,Steuler Fliesengruppe AG,True,Europe
128,NLVGn.DE,Nuernberger Beteiligungs AG,True,Europe
129,OELG.F,ADM Hamburg AG,True,Europe
130,PSHG_p.DE,Porsche Automobil Holding SE,True,Europe
131,TUI1n.DE,TUI AG,True,Europe
132,PWO.DE,PWO AG,True,Europe
133,KULG.MU,Kulmbacher Brauerei AG,True,Europe
134,RLVG.D,RheinLand Holding AG,True,Europe
135,RHMG.DE,Rheinmetall AG,True,Europe
136,SAPG.DE,SAP SE,True,Europe
137,SCMG.D,Schumag AG,True,Europe
138,SWAG.DE,Schloss Wachenheim AG,True,Europe
139,JCI.N,Johnson Controls International PLC,True,Europe
140,SIXG.DE,Sixt SE,True,Europe
141,NEPG.H,SLOMAN NEPTUN Schiffahrts-AG,True,Europe
142,SZGG.DE,Salzgitter AG,True,Europe
143,SSHG.F,Suedwestdeutsche Salzwerke AG,True,Europe
144,SZUG.DE,Suedzucker AG,True,Europe
145,TEGG.DE,TAG Immobilien AG,True,Europe
146,HVBG.F,UeSTRA Hannoversche Verkehrsbetriebe AG,True,Europe
147,VAR1.DE,Varta AG,True,Europe
148,EONGn.DE,E On Se,True,Europe
149,VOWG.DE,Volkswagen AG,True,Europe
150,2HR.DE,H&R GmbH & Co KgaA,True,Europe
151,WUG.F,Westag AG,True,Europe
152,WUWGn.DE,Wuestenrot & Wuerttembergische AG,True,Europe
