,Instrument,TRBC Economic Sector Name,ESG Combined Score,Region of Headquarters
0,POOL.OQ,Consumer Cyclicals,50.6409939082342,Americas
1,CHRW.OQ,Industrials,41.1658951220176,Americas
2,AJG.N,Financials,50.6188701540809,Americas
3,CNP.N,Utilities,32.4473630387654,Americas
4,AMCR.N,Basic Materials,68.2990633019154,Europe
5,WM.N,Industrials,84.5833817688257,Americas
6,BA.N,Industrials,39.9729026174541,Americas
7,FOX.OQ,Consumer Cyclicals,34.2877749375499,Americas
8,WY.N,Real Estate,64.8758279437174,Americas
9,MCD.N,Consumer Cyclicals,33.7661053480158,Americas
10,HD.N,Consumer Cyclicals,33.9136414637642,Americas
11,SPG.N,Real Estate,65.1269762293238,Americas
12,HBAN.OQ,Financials,74.3575934649371,Americas
13,QRVO.OQ,Technology,62.183883019368,Americas
14,LVS.N,Consumer Cyclicals,70.108374626292,Americas
15,CTRA.N,Energy,38.5997506155476,Americas
16,ON.OQ,Technology,36.9037540422077,Americas
17,AIG.N,Financials,48.1163362005173,Americas
18,AIZ.N,Financials,65.4367985451797,Americas
19,CARR.N,Industrials,65.5671259841539,Americas
20,EVRG.OQ,Utilities,69.5082580591961,Americas
21,SMCI.OQ,Technology,23.4811200337509,Americas
22,COST.OQ,Consumer Cyclicals,37.7359535861557,Americas
23,MCO.N,Industrials,67.4091836491749,Americas
24,DIS.N,Consumer Cyclicals,28.8149399614344,Americas
25,LULU.OQ,Consumer Cyclicals,30.7659586246649,Americas
26,PAYX.OQ,Industrials,52.9721611733928,Americas
27,AMD.OQ,Technology,67.7932705873789,Americas
28,REG.OQ,Real Estate,75.378822430073,Americas
29,DHI.N,Consumer Cyclicals,46.1596905695141,Americas
30,TRV.N,Financials,67.5611103896308,Americas
31,MOS.N,Basic Materials,70.3776472162107,Americas
32,BWA.N,Consumer Cyclicals,63.6373134980545,Americas
33,WDC.OQ,Technology,49.4645087887076,Americas
34,VTR.N,Real Estate,77.6461181242652,Americas
35,IVZ.N,Financials,52.4009207859329,Americas
36,ZBRA.OQ,Technology,59.2387526934344,Americas
37,AMAT.OQ,Technology,86.0952564954436,Americas
38,STX.OQ,Technology,32.5158050022422,Asia
39,FDS.N,Industrials,67.8545558194359,Americas
40,KVUE.N,Consumer Non-Cyclicals,33.8775911039779,Americas
41,SYK.N,Healthcare,54.0688294388223,Americas
42,DELL.N,Technology,45.8473266241355,Americas
43,VRSN.OQ,Technology,57.1319957390272,Americas
44,TECH.OQ,Healthcare,64.199288582781,Americas
45,NVR.N,Consumer Cyclicals,33.9805080982725,Americas
46,JBL.N,Technology,65.1412321504399,Americas
47,LOW.N,Consumer Cyclicals,41.9121342619497,Americas
48,BSX.N,Healthcare,65.3284492091916,Americas
49,SYY.N,Consumer Non-Cyclicals,48.2916101366286,Americas
50,FCX.N,Basic Materials,78.1826971237997,Americas
51,MAS.N,Consumer Cyclicals,71.0549697621575,Americas
52,BEN.N,Financials,39.1745369482348,Americas
53,META.OQ,Technology,34.1386510244461,Americas
54,PAYC.N,Technology,31.3031894246075,Americas
55,EXPE.OQ,Consumer Cyclicals,44.8544237156309,Americas
56,AMTM.N,Technology,,Americas
57,RJF.N,Financials,56.9982830954613,Americas
58,CL.N,Consumer Non-Cyclicals,64.7058709714633,Americas
59,VICI.N,Real Estate,72.5100704364015,Americas
60,CE.N,Basic Materials,70.8616136593556,Americas
61,UNH.N,Healthcare,39.921079582768,Americas
62,ARE.N,Real Estate,71.9160155450514,Americas
63,GEN.OQ,Technology,76.4056497257585,Americas
64,LLY.N,Healthcare,45.9927435750903,Americas
65,DAY.N,Technology,65.2352536601754,Americas
66,GRMN.N,Technology,47.2534244570096,Europe
67,PODD.OQ,Healthcare,55.0215983316969,Americas
68,ISRG.OQ,Healthcare,54.0771562191518,Americas
69,AVB.N,Real Estate,70.0783663241197,Americas
70,TPR.N,Consumer Cyclicals,61.9824625299745,Americas
71,CBRE.N,Real Estate,76.7430721130017,Americas
72,CINF.OQ,Financials,54.2660108611665,Americas
73,WMB.N,Energy,53.0469775079446,Americas
74,EA.OQ,Technology,59.2893453862249,Americas
75,TMUS.OQ,Technology,32.7681831597613,Americas
76,CB.N,Financials,39.088024231944,Europe
77,TXN.OQ,Technology,59.4176922583626,Americas
78,MDLZ.OQ,Consumer Non-Cyclicals,46.4996967536927,Americas
79,BRO.N,Financials,33.0305597558839,Americas
80,BALL.N,Basic Materials,72.885551859304,Americas
81,PFG.OQ,Financials,54.4138295220536,Americas
82,KEYS.N,Technology,70.3532356155847,Americas
83,PCG.N,Utilities,41.3584867134842,Americas
84,RL.N,Consumer Cyclicals,77.1660417636085,Americas
85,JPM.N,Financials,39.2414698296689,Americas
86,TTWO.OQ,Technology,45.1006311055457,Americas
87,CDW.OQ,Technology,50.6108697211116,Americas
88,RMD.N,Healthcare,67.6743268022689,Americas
89,LNT.OQ,Utilities,71.6013302516769,Americas
90,COO.OQ,Healthcare,53.6087977988991,Americas
91,CMG.N,Consumer Cyclicals,32.9987974592837,Americas
92,PCAR.OQ,Industrials,46.0033218150855,Americas
93,GNRC.N,Industrials,25.6054955704409,Americas
94,CHTR.OQ,Technology,29.8562896151212,Americas
95,PWR.N,Industrials,74.3288131229249,Americas
96,CCL.N,Consumer Cyclicals,47.4031598883041,Americas
97,PM.N,Consumer Non-Cyclicals,47.3597895844956,Americas
98,SNA.N,Industrials,46.7516931222211,Americas
99,UAL.OQ,Industrials,35.4785788088368,Americas
100,ESS.N,Real Estate,69.5976327430567,Americas
101,KHC.OQ,Consumer Non-Cyclicals,39.5807549720809,Americas
102,BLDR.N,Consumer Cyclicals,42.9048084010759,Americas
103,JBHT.OQ,Industrials,76.7517137506831,Americas
104,CMI.N,Consumer Cyclicals,40.9110546912952,Americas
105,PNR.N,Industrials,61.1383786853954,Europe
106,CRL.N,Healthcare,41.5173952209998,Americas
107,DPZ.N,Consumer Cyclicals,36.0940127745707,Americas
108,DECK.N,Consumer Cyclicals,61.0518366441612,Americas
109,HPQ.N,Technology,51.7604659106741,Americas
110,ROP.OQ,Technology,56.5611417600355,Americas
111,LW.N,Consumer Non-Cyclicals,35.9484544585286,Americas
112,TGT.N,Consumer Cyclicals,43.0711005896433,Americas
113,NTAP.OQ,Technology,64.508956995419,Americas
114,OXY.N,Energy,47.2550286393092,Americas
115,IR.N,Industrials,52.9275569373805,Americas
116,TER.OQ,Technology,58.0003567334022,Americas
117,WAB.N,Industrials,50.8161825071971,Americas
118,NOW.N,Technology,60.2511604018249,Americas
119,EXC.OQ,Utilities,49.5557234589657,Americas
120,BR.N,Industrials,66.6267220897847,Americas
121,EMN.N,Basic Materials,77.6780252897447,Americas
122,AZO.N,Consumer Cyclicals,61.8443466961631,Americas
123,TEL.N,Technology,69.2113487483444,Europe
124,FRT.N,Real Estate,84.08861490996,Americas
125,DUK.N,Utilities,58.0057482607722,Americas
126,KMI.N,Energy,48.392588739287,Americas
127,DVN.N,Energy,52.9563220037455,Americas
128,RCL.N,Consumer Cyclicals,69.3707165297537,Americas
129,VTRS.OQ,Healthcare,39.1258258671336,Americas
130,CAH.N,Healthcare,60.2176666192197,Americas
131,MKC.N,Consumer Non-Cyclicals,79.7862251014226,Americas
132,IEX.N,Industrials,55.9258512915933,Americas
133,VLO.N,Energy,45.0988520305469,Americas
134,EXPD.N,Industrials,60.1869108698854,Americas
135,LH.N,Healthcare,70.5933802443373,Americas
136,SW.N,Basic Materials,72.1865837822218,Europe
137,DRI.N,Consumer Cyclicals,51.047964706423,Americas
138,MAA.N,Real Estate,61.9024114781904,Americas
139,JNJ.N,Healthcare,42.7700090854983,Americas
140,COR.N,Healthcare,49.9067778512774,Americas
141,SHW.N,Basic Materials,47.5362042966334,Americas
142,GD.N,Industrials,66.7100921115666,Americas
143,SBAC.OQ,Real Estate,65.3554608022506,Americas
144,MPWR.OQ,Technology,41.4775667632671,Americas
145,COP.N,Energy,37.146672048611,Americas
146,ORCL.N,Technology,45.775414977375,Americas
147,AMP.N,Financials,60.7107434689984,Americas
148,NXPI.OQ,Technology,62.5242250307657,Europe
149,CPRT.OQ,Technology,59.9189508768188,Americas
150,TXT.N,Industrials,43.2068875427207,Americas
151,T.N,Technology,41.4585356923577,Americas
152,MTCH.OQ,Technology,26.0457161540551,Americas
153,NDAQ.OQ,Financials,60.1946951783898,Americas
154,FFIV.OQ,Technology,68.2180770677687,Americas
155,LEN.N,Consumer Cyclicals,37.9575777292071,Americas
156,CDNS.OQ,Technology,73.9903209933214,Americas
157,NVDA.OQ,Technology,44.2477011331185,Americas
158,WELL.N,Real Estate,73.5762181551158,Americas
159,PLD.N,Real Estate,74.1402214198862,Americas
160,ROST.OQ,Consumer Cyclicals,59.2037151463804,Americas
161,MRK.N,Healthcare,60.959622712219,Americas
162,WEC.N,Utilities,59.7281219110597,Americas
163,MSCI.N,Industrials,65.623556703352,Americas
164,TMO.N,Healthcare,79.4133916594654,Americas
165,F.N,Consumer Cyclicals,36.4566432975973,Americas
166,GEHC.OQ,Healthcare,39.3813262043282,Americas
167,LYB.N,Basic Materials,74.7194779793807,Europe
168,IBM.N,Technology,43.3224517940977,Americas
169,IQV.N,Healthcare,57.4275887479326,Americas
170,VRTX.OQ,Healthcare,60.5339379321602,Americas
171,DXCM.OQ,Healthcare,37.9421974010991,Americas
172,PEP.OQ,Consumer Non-Cyclicals,44.611766776436,Americas
173,AOS.N,Industrials,53.9315698532332,Americas
174,BLK.N,Financials,43.1079840022705,Americas
175,HII.N,Industrials,39.0669102082846,Americas
176,CVS.N,Healthcare,46.7246725419987,Americas
177,PH.N,Industrials,50.8073201521035,Americas
178,NSC.N,Industrials,34.0185442111788,Americas
179,MSFT.OQ,Technology,46.2023124398205,Americas
180,HWM.N,Industrials,72.0609814123495,Americas
181,BAX.N,Healthcare,45.0548639207362,Americas
182,HUM.N,Healthcare,46.378400828861,Americas
183,AXON.OQ,Industrials,36.4013989373452,Americas
184,ZBH.N,Healthcare,64.5281560221276,Americas
185,TDY.N,Technology,41.4613862573921,Americas
186,GILD.OQ,Healthcare,57.1742901180326,Americas
187,EPAM.N,Technology,54.6838089406712,Americas
188,NOC.N,Industrials,70.2497037023048,Americas
189,PNW.N,Utilities,68.3427033855974,Americas
190,BFb.N,Consumer Non-Cyclicals,57.9350145260362,Americas
191,DE.N,Industrials,51.0048315538316,Americas
192,HSY.N,Consumer Non-Cyclicals,48.0915684394769,Americas
193,GL.N,Financials,28.1294904437941,Americas
194,SLB.N,Energy,46.9917544667959,Americas
195,AWK.N,Utilities,64.737648890231,Americas
196,PKG.N,Basic Materials,66.01651845009,Americas
197,CPAY.N,Industrials,49.3365357368769,Americas
198,ADI.OQ,Technology,69.1744565771304,Americas
199,MMC.N,Financials,65.1455578890028,Americas
200,IT.N,Technology,75.338541538662,Americas
201,ECL.N,Basic Materials,76.9057616991937,Americas
202,BXP.N,Real Estate,72.4445092122171,Americas
203,GE.N,Industrials,58.9811270138981,Americas
204,ED.N,Utilities,66.4773869457589,Americas
205,ALLE.N,Technology,54.4717563527628,Europe
206,OTIS.N,Industrials,63.2143667559548,Americas
207,WFC.N,Financials,38.763192178181,Americas
208,CTVA.N,Basic Materials,37.8478125622796,Americas
209,FTV.N,Industrials,66.6678333484984,Americas
210,AEE.N,Utilities,44.0363424643926,Americas
211,PRU.N,Financials,42.9073519587594,Americas
212,DLTR.OQ,Consumer Cyclicals,34.4354235161686,Americas
213,CF.N,Basic Materials,48.5802878407864,Americas
214,NEE.N,Utilities,39.6365477822981,Americas
215,FMC.N,Basic Materials,46.4846127436458,Americas
216,KLAC.OQ,Technology,55.4234435565615,Americas
217,AME.N,Industrials,58.3558548822966,Americas
218,NUE.N,Basic Materials,53.8391428677954,Americas
219,D.N,Utilities,81.3555389642178,Americas
220,SJM.N,Consumer Non-Cyclicals,62.5309920638149,Americas
221,EMR.N,Industrials,47.9976333736946,Americas
222,DVA.N,Healthcare,58.4098675937014,Americas
223,CMS.N,Utilities,56.9632351676324,Americas
224,HPE.N,Technology,53.5517209600117,Americas
225,BDX.N,Healthcare,58.1947994126933,Americas
226,MGM.N,Consumer Cyclicals,45.1546889740568,Americas
227,HUBB.N,Industrials,71.919136820876,Americas
228,ALGN.OQ,Healthcare,47.9162316333108,Americas
229,SRE.N,Utilities,70.0051717581469,Americas
230,REGN.OQ,Healthcare,60.4203465353292,Americas
231,EFX.N,Industrials,32.5140433171063,Americas
232,USB.N,Financials,34.4977677813871,Americas
233,CSGP.OQ,Technology,60.505447464326,Americas
234,HCA.N,Healthcare,54.1744962356669,Americas
235,AVGO.OQ,Technology,49.7652568123759,Americas
236,DHR.N,Healthcare,55.1672353071234,Americas
237,NWSA.OQ,Consumer Cyclicals,38.9981783118379,Americas
238,ERIE.OQ,Financials,43.0716465318322,Americas
239,RTX.N,Industrials,39.7512878216223,Americas
240,AAPL.OQ,Technology,40.3421207171522,Americas
241,CME.OQ,Financials,59.6959122786667,Americas
242,ADM.N,Consumer Non-Cyclicals,39.2226627008439,Americas
243,APD.N,Basic Materials,77.0400733977641,Americas
244,FANG.OQ,Energy,44.1551977829716,Americas
245,WRB.N,Financials,50.1210798297277,Americas
246,AXP.N,Financials,43.1070218932014,Americas
247,CLX.N,Consumer Non-Cyclicals,63.6344528204329,Americas
248,DOV.N,Industrials,66.002683155908,Americas
249,FSLR.OQ,Energy,52.6087706919622,Americas
250,MTB.N,Financials,80.246633430643,Americas
251,FDX.N,Industrials,48.4297126965983,Americas
252,TROW.OQ,Financials,59.6550342776923,Americas
253,JKHY.OQ,Technology,56.3196545950351,Americas
